order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,ExtractTime_x,source_x,late_delivery,latency_days,weekend,status_description,item_id,product_id,quantity,list_price_x,discount,ExtractTime_y,source_y,key,list_price_egp,product_name_order_item,brand_id_order_item,category_id_order_item,model_year_order_item,list_price_y,ExtractTime_order_item,source_order_item,product_name_product,brand_id_product,category_id_product,model_year_product,list_price,ExtractTime_product,source_product
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,2024-04-28 17:37:45.251245,Oracle,False,0,True,Completed,1,20,1,599.99,0.2,2024-04-28 17:37:45.218693,Oracle,1,28738.141023,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-30 12:20:28.415583,DataLake,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-30 12:20:28.415583,DataLake
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,2024-04-28 17:37:45.251245,Oracle,False,0,True,Completed,2,8,2,1799.99,0.07,2024-04-28 17:37:45.218693,Oracle,1,86215.381023,Trek Remedy 29 Carbon Frameset - 2016,9,6,2016,1799.99,2024-04-30 12:20:28.415583,DataLake,Trek Remedy 29 Carbon Frameset - 2016,9,6,2016,1799.99,2024-04-30 12:20:28.415583,DataLake
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,2024-04-28 17:37:45.251245,Oracle,False,0,True,Completed,3,10,2,1549.0,0.05,2024-04-28 17:37:45.218693,Oracle,1,74193.5373,Surly Straggler - 2016,8,4,2016,1549.0,2024-04-30 12:20:28.415583,DataLake,Surly Straggler - 2016,8,4,2016,1549.0,2024-04-30 12:20:28.415583,DataLake
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,2024-04-28 17:37:45.251245,Oracle,False,0,True,Completed,4,16,2,599.99,0.05,2024-04-28 17:37:45.218693,Oracle,1,28738.141023,Electra Townie Original 7D EQ - 2016,1,3,2016,599.99,2024-04-30 12:20:28.415583,DataLake,Electra Townie Original 7D EQ - 2016,1,3,2016,599.99,2024-04-30 12:20:28.415583,DataLake
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,2024-04-28 17:37:45.251245,Oracle,False,0,True,Completed,5,4,1,2899.99,0.2,2024-04-28 17:37:45.218693,Oracle,1,138902.851023,Trek Fuel EX 8 29 - 2016,9,6,2016,2899.99,2024-04-30 12:20:28.415583,DataLake,Trek Fuel EX 8 29 - 2016,9,6,2016,2899.99,2024-04-30 12:20:28.415583,DataLake
2,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,2024-04-28 17:37:45.251245,Oracle,False,-1,True,Completed,1,20,1,599.99,0.07,2024-04-28 17:37:45.218693,Oracle,1,28738.141023,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-30 12:20:28.415583,DataLake,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-30 12:20:28.415583,DataLake
2,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,2024-04-28 17:37:45.251245,Oracle,False,-1,True,Completed,2,16,2,599.99,0.05,2024-04-28 17:37:45.218693,Oracle,1,28738.141023,Electra Townie Original 7D EQ - 2016,1,3,2016,599.99,2024-04-30 12:20:28.415583,DataLake,Electra Townie Original 7D EQ - 2016,1,3,2016,599.99,2024-04-30 12:20:28.415583,DataLake
3,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,2024-04-28 17:37:45.251245,Oracle,False,-2,True,Completed,1,3,1,999.99,0.05,2024-04-28 17:37:45.218693,Oracle,1,47897.221023,Surly Wednesday Frameset - 2016,8,6,2016,999.99,2024-04-30 12:20:28.415583,DataLake,Surly Wednesday Frameset - 2016,8,6,2016,999.99,2024-04-30 12:20:28.415583,DataLake
3,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,2024-04-28 17:37:45.251245,Oracle,False,-2,True,Completed,2,20,1,599.99,0.05,2024-04-28 17:37:45.218693,Oracle,1,28738.141023,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-30 12:20:28.415583,DataLake,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-30 12:20:28.415583,DataLake
4,175,4,2016-01-03,2016-01-04,2016-01-05,1,3,2024-04-28 17:37:45.251245,Oracle,True,1,False,Completed,1,2,2,749.99,0.1,2024-04-28 17:37:45.218693,Oracle,1,35922.796023,Ritchey Timberwolf Frameset - 2016,5,6,2016,749.99,2024-04-30 12:20:28.415583,DataLake,Ritchey Timberwolf Frameset - 2016,5,6,2016,749.99,2024-04-30 12:20:28.415583,DataLake
5,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,2024-04-28 17:37:45.251245,Oracle,False,0,False,Completed,1,10,2,1549.0,0.05,2024-04-28 17:37:45.218693,Oracle,1,74193.5373,Surly Straggler - 2016,8,4,2016,1549.0,2024-04-30 12:20:28.415583,DataLake,Surly Straggler - 2016,8,4,2016,1549.0,2024-04-30 12:20:28.415583,DataLake
5,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,2024-04-28 17:37:45.251245,Oracle,False,0,False,Completed,2,17,1,429.0,0.07,2024-04-28 17:37:45.218693,Oracle,1,20548.1133,Pure Cycles Vine 8-Speed - 2016,4,3,2016,429.0,2024-04-30 12:20:28.415583,DataLake,Pure Cycles Vine 8-Speed - 2016,4,3,2016,429.0,2024-04-30 12:20:28.415583,DataLake
