order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,ExtractTime,source
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,2024-05-01 21:24:37.058428,Oracle
2,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,2024-05-01 21:24:37.058428,Oracle
3,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,2024-05-01 21:24:37.058428,Oracle
4,175,4,2016-01-03,2016-01-04,2016-01-05,1,3,2024-05-01 21:24:37.058428,Oracle
5,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,2024-05-01 21:24:37.058428,Oracle
13,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,2024-05-01 21:24:37.058428,Oracle
14,258,4,2016-01-09,2016-01-11,2016-01-12,1,3,2024-05-01 21:24:37.058428,Oracle
15,450,4,2016-01-09,2016-01-10,2016-01-12,2,7,2024-05-01 21:24:37.058428,Oracle
16,552,4,2016-01-12,2016-01-15,2016-01-15,1,3,2024-05-01 21:24:37.058428,Oracle
17,1175,4,2016-01-12,2016-01-14,2016-01-14,1,3,2024-05-01 21:24:37.058428,Oracle
18,541,4,2016-01-14,2016-01-17,2016-01-15,1,3,2024-05-01 21:24:37.058428,Oracle
19,696,4,2016-01-14,2016-01-17,2016-01-16,1,2,2024-05-01 21:24:37.058428,Oracle
20,923,4,2016-01-14,2016-01-16,2016-01-17,1,2,2024-05-01 21:24:37.058428,Oracle
21,1250,4,2016-01-15,2016-01-16,2016-01-18,2,6,2024-05-01 21:24:37.058428,Oracle
22,1035,4,2016-01-16,2016-01-18,2016-01-17,1,2,2024-05-01 21:24:37.058428,Oracle
23,1149,4,2016-01-16,2016-01-19,2016-01-19,1,2,2024-05-01 21:24:37.058428,Oracle
24,636,4,2016-01-18,2016-01-20,2016-01-19,2,7,2024-05-01 21:24:37.058428,Oracle
25,657,4,2016-01-18,2016-01-21,2016-01-21,2,6,2024-05-01 21:24:37.058428,Oracle
26,1280,4,2016-01-18,2016-01-21,2016-01-19,2,7,2024-05-01 21:24:37.058428,Oracle
